number_of_capital_letters,number_of_special_characters,number_of_whitespaces,average_lenght_of_words,number_of_keywords,real_class
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
11,3,6,13,0,j
0,1,0,1,0,o
11,5,4,13,0,j
0,1,0,1,0,o
1,1,4,5,0,j
1,2,2,7,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,1,1,1,0,j
11,4,5,13,0,j
13,4,3,16,0,j
0,1,1,1,0,j
0,0,1,3,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
14,7,5,13,0,j
0,0,1,3,0,j
0,1,0,1,0,o
5,0,3,2,0,j
0,1,0,1,0,o
12,6,4,13,0,j
0,1,0,1,0,o
11,5,4,13,0,j
2,3,3,8,0,j
0,1,0,1,0,o
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,0,2,3,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
1,2,2,5,0,j
0,1,0,1,0,o
1,2,1,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
12,3,8,10,1,j
0,1,0,1,0,o
23,5,3,16,0,o
10,5,4,10,0,j
0,1,0,1,0,o
1,1,4,5,0,j
1,2,2,6,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,1,1,1,0,j
10,4,5,10,0,j
12,4,3,12,0,j
0,1,1,1,0,j
0,0,1,3,0,j
0,1,0,1,0,o
6,0,3,3,0,j
